"trainer/global_step","lightgen-pointuv_256res_batch32 - epoch","lightgen-pointuv_256res_batch32 - epoch__MIN","lightgen-pointuv_256res_batch32 - epoch__MAX","lightgen-pointuv_256res_batch32 - _step","lightgen-pointuv_256res_batch32 - _step__MIN","lightgen-pointuv_256res_batch32 - _step__MAX"
"1","1239","1239","1239","5399","5399","5399"
"2","1246","1246","1246","5416","5416","5416"
"3","1252","1252","1252","5433","5433","5433"
"6","1270","1270","1270","5484","5484","5484"
"9","1339","1339","1339","5797","5797","5797"
"10","1346","1346","1346","5814","5814","5814"
"11","1352","1352","1352","5831","5831","5831"
"14","1370","1370","1370","5882","5882","5882"
"17","1439","1439","1439","6195","6195","6195"
"18","1446","1446","1446","6212","6212","6212"
"19","1452","1452","1452","6229","6229","6229"
"22","1470","1470","1470","6280","6280","6280"
"25","1539","1539","1539","6593","6593","6593"
"26","1546","1546","1546","6610","6610","6610"
"27","1552","1552","1552","6627","6627","6627"
"28","0","0","0","33","33","33"
"30","1570","1570","1570","6678","6678","6678"
"33","1639","1639","1639","6991","6991","6991"
"34","1646","1646","1646","7008","7008","7008"
"35","1652","1652","1652","7025","7025","7025"
"38","1670","1670","1670","7076","7076","7076"
"41","1739","1739","1739","7389","7389","7389"
"42","1746","1746","1746","7406","7406","7406"
"43","1752","1752","1752","7423","7423","7423"
"46","1770","1770","1770","7474","7474","7474"
"49","1","1","1","35","35","35"
"57","1","1","1","37","37","37"
"86","2","2","2","38","38","38"
"99","3","3","3","40","40","40"
"115","3","3","3","42","42","42"
"144","4","4","4","43","43","43"
"149","5","5","5","45","45","45"
"173","5","5","5","47","47","47"
"199","6","6","6","49","49","49"
"202","6","6","6","51","51","51"
"231","7","7","7","52","52","52"
"249","8","8","8","54","54","54"
"260","8","8","8","56","56","56"
"289","9","9","9","57","57","57"
"299","10","10","10","59","59","59"
"318","10","10","10","61","61","61"
"347","11","11","11","62","62","62"
"349","12","12","12","64","64","64"
"376","12","12","12","66","66","66"
"399","13","13","13","68","68","68"
"405","13","13","13","70","70","70"
"434","14","14","14","71","71","71"
"449","15","15","15","73","73","73"
"463","15","15","15","75","75","75"
"492","16","16","16","76","76","76"
"499","17","17","17","78","78","78"
"521","17","17","17","80","80","80"
"549","18","18","18","82","82","82"
"550","18","18","18","84","84","84"
"579","19","19","19","85","85","85"
"599","20","20","20","87","87","87"
"608","20","20","20","89","89","89"
"637","21","21","21","90","90","90"
"649","22","22","22","92","92","92"
"666","22","22","22","94","94","94"
"695","23","23","23","95","95","95"
"699","24","24","24","97","97","97"
"724","24","24","24","99","99","99"
"749","25","25","25","101","101","101"
"753","25","25","25","103","103","103"
"782","26","26","26","104","104","104"
"799","27","27","27","106","106","106"
"811","27","27","27","108","108","108"
"840","28","28","28","109","109","109"
"849","29","29","29","111","111","111"
"869","29","29","29","113","113","113"
"898","30","30","30","114","114","114"
"899","31","31","31","116","116","116"
"927","31","31","31","118","118","118"
"949","32","32","32","120","120","120"
"956","32","32","32","122","122","122"
"985","33","33","33","123","123","123"
"999","34","34","34","125","125","125"
"1014","34","34","34","127","127","127"
"1043","35","35","35","128","128","128"
"1049","36","36","36","130","130","130"
"1072","36","36","36","132","132","132"
"1099","37","37","37","134","134","134"
"1101","37","37","37","136","136","136"
"1130","38","38","38","137","137","137"
"1149","39","39","39","139","139","139"
"1159","39","39","39","141","141","141"
"1188","40","40","40","142","142","142"
"1199","41","41","41","144","144","144"
"1217","41","41","41","146","146","146"
"1246","42","42","42","147","147","147"
"1249","43","43","43","149","149","149"
"1275","43","43","43","151","151","151"
"1299","44","44","44","153","153","153"
"1304","44","44","44","155","155","155"
"1333","45","45","45","156","156","156"
"1349","46","46","46","158","158","158"
"1362","46","46","46","160","160","160"
"1391","47","47","47","161","161","161"
"1399","48","48","48","163","163","163"
