"trainer/global_step","lightgen-pointuv_256res_batch32 - lr-AdamW","lightgen-pointuv_256res_batch32 - lr-AdamW__MIN","lightgen-pointuv_256res_batch32 - lr-AdamW__MAX","lightgen-pointuv_256res_batch32 - _step","lightgen-pointuv_256res_batch32 - _step__MIN","lightgen-pointuv_256res_batch32 - _step__MAX"
"0","0.0004937149282408922","0.0004937149282408922","0.0004937149282408922","5382","5382","5382"
"5","0.0004933963567188048","0.0004933963567188048","0.0004933963567188048","5467","5467","5467"
"8","0.0004926606267436178","0.0004926606267436178","0.0004926606267436178","5780","5780","5780"
"13","0.0004923170652940412","0.0004923170652940412","0.0004923170652940412","5865","5865","5865"
"16","0.0004915259268755012","0.0004915259268755012","0.0004915259268755012","6178","6178","6178"
"21","0.0004911574895623141","0.0004911574895623141","0.0004911574895623141","6263","6263","6263"
"24","0.0004903112053617905","0.0004903112053617905","0.0004903112053617905","6576","6576","6576"
"29","0.0004899180145077668","0.0004899180145077668","0.0004899180145077668","6661","6661","6661"
"32","0.0004890168654952363","0.0004890168654952363","0.0004890168654952363","6974","6974","6974"
"37","0.0004885990516414099","0.0004885990516414099","0.0004885990516414099","7059","7059","7059"
"40","0.00048764333700224074","0.00048764333700224074","0.00048764333700224074","7372","7372","7372"
"45","0.000487201038864658","0.000487201038864658","0.000487201038864658","7457","7457","7457"
"49","0.0004999999881752369","0.0004999999881752369","0.0004999999881752369","34","34","34"
"99","0.0004999999517307375","0.0004999999517307375","0.0004999999517307375","39","39","39"
"149","0.0004999998906615797","0.0004999998906615797","0.0004999998906615797","44","44","44"
"199","0.0004999998049677703","0.0004999998049677703","0.0004999998049677703","48","48","48"
"249","0.000499999694649317","0.000499999694649317","0.000499999694649317","53","53","53"
"299","0.0004999995597062312","0.0004999995597062312","0.0004999995597062312","58","58","58"
"349","0.0004999994001385264","0.0004999994001385264","0.0004999994001385264","63","63","63"
"399","0.0004999992159462178","0.0004999992159462178","0.0004999992159462178","67","67","67"
"449","0.0004999990071293234","0.0004999990071293234","0.0004999990071293234","72","72","72"
"499","0.0004999987736878646","0.0004999987736878646","0.0004999987736878646","77","77","77"
"549","0.0004999985156218638","0.0004999985156218638","0.0004999985156218638","81","81","81"
"599","0.0004999982329313468","0.0004999982329313468","0.0004999982329313468","86","86","86"
"649","0.0004999979256163413","0.0004999979256163413","0.0004999979256163413","91","91","91"
"699","0.0004999975936768779","0.0004999975936768779","0.0004999975936768779","96","96","96"
"749","0.0004999972371129895","0.0004999972371129895","0.0004999972371129895","100","100","100"
"799","0.0004999968559247104","0.0004999968559247104","0.0004999968559247104","105","105","105"
"849","0.0004999964501120792","0.0004999964501120792","0.0004999964501120792","110","110","110"
"899","0.0004999960196751358","0.0004999960196751358","0.0004999960196751358","115","115","115"
"949","0.0004999955646139218","0.0004999955646139218","0.0004999955646139218","119","119","119"
"999","0.0004999950849284837","0.0004999950849284837","0.0004999950849284837","124","124","124"
"1049","0.0004999945806188676","0.0004999945806188676","0.0004999945806188676","129","129","129"
"1099","0.0004999940516851232","0.0004999940516851232","0.0004999940516851232","133","133","133"
"1149","0.0004999934981273032","0.0004999934981273032","0.0004999934981273032","138","138","138"
"1199","0.0004999929199454625","0.0004999929199454625","0.0004999929199454625","143","143","143"
"1249","0.0004999923171396574","0.0004999923171396574","0.0004999923171396574","148","148","148"
"1299","0.0004999916897099483","0.0004999916897099483","0.0004999916897099483","152","152","152"
"1349","0.0004999910376563967","0.0004999910376563967","0.0004999910376563967","157","157","157"
"1399","0.0004999903609790669","0.0004999903609790669","0.0004999903609790669","162","162","162"
"1449","0.0004999896596780254","0.0004999896596780254","0.0004999896596780254","166","166","166"
"1499","0.0004999889337533414","0.0004999889337533414","0.0004999889337533414","171","171","171"
"1549","0.0004999881832050868","0.0004999881832050868","0.0004999881832050868","176","176","176"
"1599","0.0004999874080333358","0.0004999874080333358","0.0004999874080333358","181","181","181"
"1649","0.0004999866082381647","0.0004999866082381647","0.0004999866082381647","185","185","185"
"1699","0.0004999857838196521","0.0004999857838196521","0.0004999857838196521","190","190","190"
"1749","0.0004999849347778802","0.0004999849347778802","0.0004999849347778802","195","195","195"
"1799","0.0004999840611129322","0.0004999840611129322","0.0004999840611129322","200","200","200"
"1849","0.0004999831628248948","0.0004999831628248948","0.0004999831628248948","204","204","204"
"1899","0.0004999822399138562","0.0004999822399138562","0.0004999822399138562","209","209","209"
"1949","0.0004999812923799081","0.0004999812923799081","0.0004999812923799081","214","214","214"
"1999","0.0004999803202231429","0.0004999803202231429","0.0004999803202231429","218","218","218"
"2049","0.0004999793234436575","0.0004999793234436575","0.0004999793234436575","223","223","223"
"2099","0.0004999783020415499","0.0004999783020415499","0.0004999783020415499","228","228","228"
"2149","0.0004999772560169213","0.0004999772560169213","0.0004999772560169213","233","233","233"
"2199","0.0004999761853698748","0.0004999761853698748","0.0004999761853698748","237","237","237"
"2249","0.0004999750901005156","0.0004999750901005156","0.0004999750901005156","242","242","242"
"2299","0.0004999739702089525","0.0004999739702089525","0.0004999739702089525","247","247","247"
"2349","0.0004999728256952953","0.0004999728256952953","0.0004999728256952953","252","252","252"
"2399","0.0004999716565596572","0.0004999716565596572","0.0004999716565596572","256","256","256"
"2449","0.0004999704628021538","0.0004999704628021538","0.0004999704628021538","261","261","261"
"2499","0.0004999692444229032","0.0004999692444229032","0.0004999692444229032","266","266","266"
"2549","0.0004999680014220249","0.0004999680014220249","0.0004999680014220249","270","270","270"
"2599","0.0004999667337996423","0.0004999667337996423","0.0004999667337996423","275","275","275"
"2649","0.00049996544155588","0.00049996544155588","0.00049996544155588","280","280","280"
"2699","0.0004999641246908657","0.0004999641246908657","0.0004999641246908657","285","285","285"
"2749","0.0004999627832047295","0.0004999627832047295","0.0004999627832047295","289","289","289"
"2799","0.0004999614170976036","0.0004999614170976036","0.0004999614170976036","294","294","294"
"2849","0.0004999600263696229","0.0004999600263696229","0.0004999600263696229","299","299","299"
"2899","0.0004999586110209247","0.0004999586110209247","0.0004999586110209247","303","303","303"
"2949","0.0004999571710516482","0.0004999571710516482","0.0004999571710516482","432","432","432"
"2999","0.0004999557064619365","0.0004999557064619365","0.0004999557064619365","437","437","437"
"3049","0.0004999542172519334","0.0004999542172519334","0.0004999542172519334","442","442","442"
"3099","0.0004999527034217858","0.0004999527034217858","0.0004999527034217858","446","446","446"
"3149","0.0004999511649716434","0.0004999511649716434","0.0004999511649716434","451","451","451"
"3199","0.0004999496019016586","0.0004999496019016586","0.0004999496019016586","456","456","456"
"3249","0.0004999480142119844","0.0004999480142119844","0.0004999480142119844","461","461","461"
"3299","0.0004999464019027784","0.0004999464019027784","0.0004999464019027784","465","465","465"
"3349","0.0004999447649742","0.0004999447649742","0.0004999447649742","470","470","470"
"3399","0.0004999431034264104","0.0004999431034264104","0.0004999431034264104","475","475","475"
"3449","0.0004999414172595736","0.0004999414172595736","0.0004999414172595736","479","479","479"
"3499","0.0004999397064738556","0.0004999397064738556","0.0004999397064738556","484","484","484"
"3549","0.0004999379710694256","0.0004999379710694256","0.0004999379710694256","489","489","489"
"3599","0.0004999362110464548","0.0004999362110464548","0.0004999362110464548","494","494","494"
"3649","0.0004999344264051168","0.0004999344264051168","0.0004999344264051168","498","498","498"
"3699","0.0004999326171455879","0.0004999326171455879","0.0004999326171455879","503","503","503"
"3749","0.0004999307832680467","0.0004999307832680467","0.0004999307832680467","508","508","508"
"3799","0.0004999289247726744","0.0004999289247726744","0.0004999289247726744","513","513","513"
"3849","0.0004999270416596541","0.0004999270416596541","0.0004999270416596541","517","517","517"
"3899","0.000499925133929172","0.000499925133929172","0.000499925133929172","522","522","522"
"3949","0.000499923201581416","0.000499923201581416","0.000499923201581416","527","527","527"
"3999","0.0004999212446165767","0.0004999212446165767","0.0004999212446165767","531","531","531"
"4049","0.0004999192630348473","0.0004999192630348473","0.0004999192630348473","536","536","536"
"4099","0.0004999172568364239","0.0004999172568364239","0.0004999172568364239","541","541","541"
"4149","0.0004999152260215035","0.0004999152260215035","0.0004999152260215035","546","546","546"
"4199","0.0004999131705902874","0.0004999131705902874","0.0004999131705902874","550","550","550"
"4249","0.0004999110905429786","0.0004999110905429786","0.0004999110905429786","555","555","555"
"4299","0.0004999089858797819","0.0004999089858797819","0.0004999089858797819","560","560","560"
"4349","0.0004999068566009053","0.0004999068566009053","0.0004999068566009053","564","564","564"
"4399","0.0004999047027065585","0.0004999047027065585","0.0004999047027065585","569","569","569"
"4449","0.0004999025241969545","0.0004999025241969545","0.0004999025241969545","574","574","574"
"4499","0.0004999003210723081","0.0004999003210723081","0.0004999003210723081","579","579","579"
"4549","0.000499898093332837","0.000499898093332837","0.000499898093332837","583","583","583"
"4599","0.0004998958409787609","0.0004998958409787609","0.0004998958409787609","588","588","588"
"4649","0.0004998935640103017","0.0004998935640103017","0.0004998935640103017","593","593","593"
"4699","0.000499891262427685","0.000499891262427685","0.000499891262427685","598","598","598"
"4749","0.000499888936231137","0.000499888936231137","0.000499888936231137","602","602","602"
"4799","0.0004998865854208878","0.0004998865854208878","0.0004998865854208878","607","607","607"
"4849","0.0004998842099971697","0.0004998842099971697","0.0004998842099971697","612","612","612"
"4899","0.0004998818099602168","0.0004998818099602168","0.0004998818099602168","616","616","616"
"4949","0.0004998793853102661","0.0004998793853102661","0.0004998793853102661","621","621","621"
"4999","0.0004998769360475567","0.0004998769360475567","0.0004998769360475567","626","626","626"
"5049","0.0004998744621723305","0.0004998744621723305","0.0004998744621723305","631","631","631"
"5099","0.0004998719636848315","0.0004998719636848315","0.0004998719636848315","635","635","635"
"5149","0.0004998694405853062","0.0004998694405853062","0.0004998694405853062","640","640","640"
"5199","0.0004998668928740044","0.0004998668928740044","0.0004998668928740044","645","645","645"
"5249","0.0004998643205511767","0.0004998643205511767","0.0004998643205511767","650","650","650"
"5299","0.0004998617236170771","0.0004998617236170771","0.0004998617236170771","654","654","654"
"5349","0.0004998591020719625","0.0004998591020719625","0.0004998591020719625","659","659","659"
"5399","0.0004998564559160906","0.0004998564559160906","0.0004998564559160906","664","664","664"
"5449","0.0004998537851497232","0.0004998537851497232","0.0004998537851497232","668","668","668"
"5499","0.0004998510897731241","0.0004998510897731241","0.0004998510897731241","673","673","673"
"5549","0.0004998483697865589","0.0004998483697865589","0.0004998483697865589","678","678","678"
"5599","0.0004998456251902965","0.0004998456251902965","0.0004998456251902965","683","683","683"
"5649","0.0004998428559846074","0.0004998428559846074","0.0004998428559846074","687","687","687"
"5699","0.0004998400621697648","0.0004998400621697648","0.0004998400621697648","692","692","692"
"5749","0.0004998372437460449","0.0004998372437460449","0.0004998372437460449","697","697","697"
"5799","0.0004998344007137253","0.0004998344007137253","0.0004998344007137253","701","701","701"
"5849","0.0004998315330730876","0.0004998315330730876","0.0004998315330730876","830","830","830"
"5899","0.0004998286408244135","0.0004998286408244135","0.0004998286408244135","835","835","835"
"5949","0.0004998257239679897","0.0004998257239679897","0.0004998257239679897","840","840","840"
"5999","0.000499822782504103","0.000499822782504103","0.000499822782504103","844","844","844"
"6049","0.0004998198164330441","0.0004998198164330441","0.0004998198164330441","849","849","849"
