"trainer/global_step","lightgen-pointuv_256res_batch32 - val/psnr_step","lightgen-pointuv_256res_batch32 - val/psnr_step__MIN","lightgen-pointuv_256res_batch32 - val/psnr_step__MAX","lightgen-pointuv_256res_batch32 - _step","lightgen-pointuv_256res_batch32 - _step__MIN","lightgen-pointuv_256res_batch32 - _step__MAX"
"0","19.756328582763672","19.269981384277344","20.6021785736084","2779.3333333333335","321","5382"
"1","17.255491892496746","16.804235458374023","17.98093605041504","2796.3333333333335","338","5399"
"2","14.483646710713705","13.600215911865234","14.951930046081543","2813.3333333333335","355","5416"
"3","16.40363057454427","14.877218246459961","17.374937057495117","2830.3333333333335","372","5433"
"4","18.209422429402668","18.126432418823242","18.327701568603516","2847.3333333333335","389","5450"
"5","16.419248580932617","15.796993255615234","17.01443099975586","2864.3333333333335","406","5467"
"6","15.448739051818848","14.356230735778809","16.908781051635742","2881.3333333333335","423","5484"
"7","16.401730219523113","15.339517593383789","17.0323486328125","2885.3333333333335","427","5488"
"8","19.436089197794598","18.529029846191406","20.521947860717773","3177.3333333333335","719","5780"
"9","17.056384722391766","15.968523979187012","18.03411293029785","3194.3333333333335","736","5797"
"10","14.943103154500326","14.716249465942383","15.094024658203125","3211.3333333333335","753","5814"
"11","16.36936632792155","14.517013549804688","17.60614776611328","3228.3333333333335","770","5831"
"12","18.458733240763348","17.94792366027832","18.880876541137695","3245.3333333333335","787","5848"
"13","16.510390599568684","16.172412872314453","17.007713317871094","3262.3333333333335","804","5865"
"14","15.210806846618652","14.687294006347656","15.968957901000977","3279.3333333333335","821","5882"
"15","16.33732032775879","16.233200073242188","16.44245147705078","3283.3333333333335","825","5886"
"16","20.047163009643555","19.393653869628906","20.710433959960938","3575.3333333333335","1117","6178"
"17","17.22464942932129","16.380828857421875","17.894542694091797","3592.3333333333335","1134","6195"
"18","15.101899782816568","14.643890380859375","15.51445484161377","3609.3333333333335","1151","6212"
"19","16.496190071105957","15.932026863098145","17.442691802978516","3626.3333333333335","1168","6229"
"20","17.95615577697754","17.562942504882812","18.278701782226562","3643.3333333333335","1185","6246"
"21","16.47609265645345","16.03929328918457","17.02149200439453","3660.3333333333335","1202","6263"
"22","15.206225077311197","14.945355415344238","15.623431205749512","3677.3333333333335","1219","6280"
"23","16.305890401204426","15.122684478759766","16.928415298461914","3681.3333333333335","1223","6284"
"24","20.114962259928387","19.663768768310547","20.850635528564453","3973.3333333333335","1515","6576"
